dp_id,port_no,rx_bytes,rx_pkts,tx_bytes,tx_pkts,duration
3,1,107160650,70946,71092,247,838
3,2,57094,147,179306154,118776,838
3,3,142901454,94686,70762958,46958,838
1,1,145054120,96082,72116620,47881,848
1,2,72113174,47851,145057566,96112,848
2,1,104963798,69495,68057338,45214,847
2,2,72488044,48029,36478018,24311,847
2,3,72116620,47881,145054120,96082,847
3,1,108509354,71838,71092,247,848
3,2,58606,148,181462266,120202,848
3,3,145057566,96112,72113174,47851,848
1,1,146337934,96934,72916594,48413,858
1,2,72913148,48383,146341380,96964,858
2,1,106247570,70346,68857270,45745,857
2,2,72488086,48030,36478060,24312,857
2,3,72916594,48413,146337934,96934,857
3,1,109853564,72728,72646,249,858
3,2,58690,150,183288846,121412,858
3,3,146341380,96964,72913148,48383,858
1,1,147618640,97782,72916636,48414,868
1,2,72913190,48384,147622086,97812,868
2,1,107528276,71194,68857312,45746,867
2,2,72488086,48030,36478060,24312,867
2,3,72916636,48414,147618640,97782,867
3,1,111202352,73622,72730,251,868
3,2,58732,151,185918256,123152,868
3,3,147622086,97812,72913190,48384,868
1,1,148900858,98631,72916678,48415,878
1,2,72913232,48385,148904304,98661,878
2,1,108810494,72043,68857354,45747,877
2,2,72488086,48030,36478060,24312,878
2,3,72916678,48415,148900858,98631,877
3,1,112551056,74514,72730,251,878
3,2,58774,152,188549178,124893,878
3,3,148904304,98661,72913232,48385,878
1,1,150183034,99479,72916678,48415,888
1,2,72913232,48385,150186480,99509,888
2,1,110092670,72891,68857354,45747,888
2,2,72488086,48030,36478060,24312,888
2,3,72916678,48415,150183034,99479,888
3,1,113899760,75406,72730,251,888
3,2,58774,152,191180058,126633,888
3,3,150186480,99509,72913232,48385,888
1,1,151465210,100327,72916678,48415,898
1,2,72913232,48385,151468656,100357,898
2,1,111374846,73739,68857354,45747,898
